SOURCE,STATION,YEAR,MONTH,AIRTEMP,PRECIP
NDAWN,Mandan,1999,Jan,-14,24.4
NDAWN,Mandan,1999,Feb,-5,7.6
NDAWN,Mandan,1999,Mar,1,3.3
NDAWN,Mandan,1999,Apr,6,42.4
NDAWN,Mandan,1999,May,13,163.1
NDAWN,Mandan,1999,June,18,113.5
NDAWN,Mandan,1999,July,21,54.4
NDAWN,Mandan,1999,Aug,20,154.7
NDAWN,Mandan,1999,Sept,12,27.4
NDAWN,Mandan,1999,Oct,7,8.9
NDAWN,Mandan,1999,Nov,4,1.3
NDAWN,Mandan,1999,Dec,-3,4.6
NDAWN,Mandan,2000,Jan,-9,12.4
NDAWN,Mandan,2000,Feb,-5,41.1
NDAWN,Mandan,2000,Mar,2,27.4
NDAWN,Mandan,2000,Apr,6,35.6
NDAWN,Mandan,2000,May,13,67.1
NDAWN,Mandan,2000,June,16,144.5
NDAWN,Mandan,2000,July,21,76.7
NDAWN,Mandan,2000,Aug,20,32.8
NDAWN,Mandan,2000,Sept,15,27.9
NDAWN,Mandan,2000,Oct,9,41.9
NDAWN,Mandan,2000,Nov,-5,33.8
NDAWN,Mandan,2000,Dec,-15,10.2
NDAWN,Mandan,2001,Jan,-7,8.6
NDAWN,Mandan,2001,Feb,-14,18.8
NDAWN,Mandan,2001,Mar,-1,4.8
NDAWN,Mandan,2001,Apr,7,49.8
NDAWN,Mandan,2001,May,14,46.2
NDAWN,Mandan,2001,June,17,117.3
NDAWN,Mandan,2001,July,21,193.0
NDAWN,Mandan,2001,Aug,22,0.0
NDAWN,Mandan,2001,Sept,15,28.7
NDAWN,Mandan,2001,Oct,6,21.1
NDAWN,Mandan,2001,Nov,3,0.5
NDAWN,Mandan,2001,Dec,-6,1.5
NDAWN,Mandan,2002,Jan,-7,5.3
NDAWN,Mandan,2002,Feb,-3,3.0
NDAWN,Mandan,2002,Mar,-8,11.2
NDAWN,Mandan,2002,Apr,4,29.2
NDAWN,Mandan,2002,May,10,8.2
NDAWN,Mandan,2002,June,19,30.0
NDAWN,Mandan,2002,July,23,54.3
NDAWN,Mandan,2002,Aug,20,56.9
NDAWN,Mandan,2002,Sept,16,9.7
NDAWN,Mandan,2002,Oct,2,9.7
NDAWN,Mandan,2002,Nov,0,4.1
NDAWN,Mandan,2002,Dec,-4,6.6
NDAWN,Mandan,2003,Jan,-10,7.1
NDAWN,Mandan,2003,Feb,-11,4.6
NDAWN,Mandan,2003,Mar,-4,8.9
NDAWN,Mandan,2003,Apr,8,24.2
NDAWN,Mandan,2003,May,12,121.9
NDAWN,Mandan,2003,June,17,46.7
NDAWN,Mandan,2003,July,22,20.6
NDAWN,Mandan,2003,Aug,23,14.0
NDAWN,Mandan,2003,Sept,15,36.3
NDAWN,Mandan,2003,Oct,10,5.6
NDAWN,Mandan,2003,Nov,-6,14.0
NDAWN,Mandan,2003,Dec,-5,13.5
NDAWN,Mandan,2004,Jan,-14,18.3
NDAWN,Mandan,2004,Feb,-8,2.3
NDAWN,Mandan,2004,Mar,1,29.0
NDAWN,Mandan,2004,Apr,7,12.4
NDAWN,Mandan,2004,May,11,25.4
NDAWN,Mandan,2004,June,16,45.0
NDAWN,Mandan,2004,July,20,64.8
NDAWN,Mandan,2004,Aug,18,62.5
NDAWN,Mandan,2004,Sept,16,34.5
NDAWN,Mandan,2004,Oct,8,36.8
NDAWN,Mandan,2004,Nov,2,0.0
NDAWN,Mandan,2004,Dec,-6,4.1
NDAWN,Mandan,2005,Jan,-13,4.6
NDAWN,Mandan,2005,Feb,-4,1.8
NDAWN,Mandan,2005,Mar,0,8.9
NDAWN,Mandan,2005,Apr,9,26.7
NDAWN,Mandan,2005,May,11,68.6
NDAWN,Mandan,2005,June,19,146.5
NDAWN,Mandan,2005,July,21,83.4
NDAWN,Mandan,2005,Aug,19,61.4
NDAWN,Mandan,2005,Sept,16,9.6
NDAWN,Mandan,2005,Oct,8,32.3
NDAWN,Mandan,2005,Nov,1,18.8
NDAWN,Mandan,2005,Dec,-7,13.2
NDAWN,Mandan,2006,Jan,-3,1.8
NDAWN,Mandan,2006,Feb,-7,3.6
NDAWN,Mandan,2006,Mar,-1,9.1
NDAWN,Mandan,2006,Apr,10,27.9
NDAWN,Mandan,2006,May,14,30.7
NDAWN,Mandan,2006,June,19,14.7
NDAWN,Mandan,2006,July,25,26.9
NDAWN,Mandan,2006,Aug,22,38.9
NDAWN,Mandan,2006,Sept,14,49.2
NDAWN,Mandan,2006,Oct,5,25.7
NDAWN,Mandan,2006,Nov,-1,1.0
NDAWN,Mandan,2006,Dec,-4,17.3
NDAWN,Mandan,2007,Jan,-8,3.3
NDAWN,Mandan,2007,Feb,-13,15.7
NDAWN,Mandan,2007,Mar,2,31.2
NDAWN,Mandan,2007,Apr,5,14.0
NDAWN,Mandan,2007,May,14,152.8
NDAWN,Mandan,2007,June,19,138.7
NDAWN,Mandan,2007,July,23,33.4
NDAWN,Mandan,2007,Aug,19,87.3
NDAWN,Mandan,2007,Sept,15,45.3
NDAWN,Mandan,2007,Oct,8,17.5
NDAWN,Mandan,2007,Nov,-1,4.1
NDAWN,Mandan,2007,Dec,-9,12.7
NDAWN,Mandan,2008,Jan,-11,2.0
NDAWN,Mandan,2008,Feb,-10,9.1
NDAWN,Mandan,2008,Mar,-1,11.4
NDAWN,Mandan,2008,Apr,5,11.9
NDAWN,Mandan,2008,May,11,42.3
NDAWN,Mandan,2008,June,16,127.5
NDAWN,Mandan,2008,July,21,92.1
NDAWN,Mandan,2008,Aug,21,19.3
NDAWN,Mandan,2008,Sept,14,45.5
NDAWN,Mandan,2008,Oct,8,40.5
NDAWN,Mandan,2008,Nov,-1,42.7
NDAWN,Mandan,2008,Dec,-14,51.1
